 Draw_LOAD2, Draw_LOAD3, Draw_STN01, Draw_STN02, Draw_STN03, Draw_STN04, Draw_STN05, Draw_STN06, Draw_STN07, Draw_STN08, Pin_LOAD2, Pin_LOAD3, Pin_STN01, Pin_STN02, Pin_STN03, Pin_STN04, Pin_STN05, Pin_STN06,Pin_STN07,Pin_STN08
2.62,-0.27,0.01,1.96,-0.2,-4.6,3.32,3.07,-0.62,-0.23,-0.16,-0.34,-3.77,1.98,-6.07,-0.29,-0.87,-5.66,-6.43,-5.32
2.08,-0.52,-2.85,-3.48,-2.49,1.7,5.33,-0.09,-0.62,2.35,3.99,0.33,-2.62,-0.32,-5.79,-10.89,-1.45,-5.95,-5.29,-5.32
-1.89,1.32,-2.28,-5.77,0.09,-3.45,1.89,1.63,-0.9,0.34,-7.61,-0.89,-3.48,-1.46,-4.93,-2.87,-6.03,-3.65,-7.01,-4.17
-2.87,-1.74,-4,-5.77,-5.36,-1.45,-0.11,-0.09,-2.34,0.06,0.63,1,-2.91,-0.32,-6.36,1.15,5.43,-5.09,-6.15,-5.6
0.92,-2.22,-2.85,-5.49,0.37,-3.74,3.61,-4.1,-2.05,0.92,1.91,-0.46,-3.2,0.26,-5.22,-5.73,1.13,-6.23,-7.58,-3.31
1.59,0.22,-2.56,-6.92,-1.92,-2.31,-1.26,-4.38,-2.91,-0.8,2.83,-2.41,-3.77,1.98,-5.79,-4.87,-0.3,-5.09,-5.86,-5.6
1.95,-3.14,-3.71,-3.77,-1.92,-2.31,2.75,-4.96,-3.2,-2.81,-0.53,-1.07,-3.77,6.28,-7.22,-4.87,-2.88,-4.51,-5.86,-5.6
1.22,0.4,-0.56,-2.91,-2.78,6.29,1.89,1.63,0.24,-1.95,0.57,1.25,-3.2,2.26,-6.65,-4.58,-4.31,1.79,-4.71,-5.03
4.15,-0.88,-5.14,-4.34,-3.93,-0.01,-0.4,2.21,0.82,-3.09,1.06,-0.64,-4.05,2.26,-5.22,-6.59,-4.31,-5.09,-3.85,-4.74
1.34,-1.07,-6,-1.48,-0.77,-4.6,-1.83,-5.82,-1.48,0.34,0.81,1.98,-6.63,0.83,-6.93,-4.58,-2.59,-4.23,-5.57,-4.74
1.4,0.09,-4.28,-4.91,-1.92,-4.03,-2.69,0.49,1.68,-0.52,0.87,0.45,-2.62,3.41,-4.64,-7.45,-2.02,-5.66,-1.56,-4.46
