 Draw_LOAD2, Draw_LOAD3, Draw_STN01, Draw_STN02, Draw_STN03, Draw_STN04, Draw_STN05, Draw_STN06, Draw_STN07, Draw_STN08, Pin_LOAD2, Pin_LOAD3, Pin_STN01, Pin_STN02, Pin_STN03, Pin_STN04, Pin_STN05, Pin_STN06,Pin_STN07,Pin_STN08
1.59,-2.1,3.17,-3.77,-2.49,-1.45,3.9,1.06,-1.76,0.63,4.11,-0.7,-2.62,5.13,-5.5,-8.88,-1.16,-6.23,-5.29,-5.6
2.01,2.54,-1.71,-3.48,-2.21,-2.02,0.46,1.63,1.39,-0.23,0.69,1,-2.34,10,-6.07,-6.88,-1.45,-3.94,-6.43,-2.16
1.95,-1,-2.56,-0.33,-3.64,-0.59,0.75,-0.66,1.39,-0.52,0.2,0.64,-3.2,5.7,-6.36,-9.17,1.99,-5.37,-4.43,-5.6
2.2,0.03,-2.85,-0.33,-1.92,-4.03,3.04,5.07,-4.34,-0.23,2.03,-1.38,-2.62,3.41,-8.65,-9.17,-1.45,-7.38,-5.57,-5.6
1.04,-2.22,-4,-5.49,-2.49,-5.46,0.75,0.77,-2.05,0.34,-1.32,4.3,-2.34,3.12,-3.78,-8.6,-2.31,-7.67,-5.86,-5.6
1.77,-0.15,-4.57,0.53,-1.92,-1.73,2.18,-0.09,-4.91,3.78,-4.25,-1.86,-2.91,7.14,-5.5,-10.32,-4.31,-3.37,-5.29,-5.6
0.06,0.52,-6.58,-4.63,0.09,-2.02,0.46,1.63,0.53,1.78,0.32,-0.28,-0.04,2.84,-6.07,-5.73,-3.17,-4.8,-4.14,-5.6
2.14,-0.88,-1.99,-4.63,0.37,-0.87,-1.83,1.92,-4.91,0.34,1.79,1.31,-0.9,2.26,-4.64,-9.17,0.27,-8.52,-5.86,-5.6
0.49,0.89,-2.85,0.53,-0.2,-4.6,1.03,-0.95,-5.49,0.63,-0.47,-3.15,0.24,6.56,-4.93,-6.3,-1.45,-5.09,-8.15,-3.31
1.77,-1.43,-4.86,-1.48,-2.49,-1.73,0.46,2.78,-1.48,-0.8,3.38,-0.46,-1.76,6.56,-6.36,-7.45,-3.45,-5.09,-7.01,-4.74
2.26,-0.88,-4.57,-2.05,-3.07,-10.33,-2.41,-0.09,0.24,-1.09,-3.58,-0.89,-1.19,3.12,-4.64,-8.31,-1.16,-3.37,-2.99,-5.32
-0.79,-0.7,-4.86,-9.21,-3.35,-1.73,2.46,0.49,-1.48,0.92,-22.14,1,-1.76,7.71,-4.36,-8.6,-2.31,-5.66,-4.14,-3.88
-3.91,-0.52,-1.71,-4.91,-4.5,-1.45,1.6,0.2,-2.05,-1.66,0.63,-1.8,-0.33,8.28,-5.79,-6.88,1.42,-4.51,5.03,-3.02
0.92,-0.88,-3.71,-3.77,-3.35,0.85,4.47,-0.09,-0.62,3.21,1.24,3.51,-2.62,6.85,-4.36,-8.02,-2.02,-3.08,-4.43,-4.74
2.2,-1.13,-2.85,-5.49,-3.93,-2.02,1.6,0.2,-0.33,3.78,1.54,-6.81,-1.19,12.58,-4.93,-7.45,-1.73,-5.09,-5.86,-0.44
0.73,-2.84,-2.28,-5.77,-4.79,0.56,1.6,3.07,-0.9,-1.66,0.69,-2.54,-0.33,11.72,-7.51,-7.45,2.56,-2.79,-8.44,-1.02
2.62,0.52,-5.72,-2.62,-1.06,-0.01,-2.69,-5.53,-1.48,-2.52,2.46,1.13,-5.77,7.71,-4.36,-9.17,-0.87,-3.08,-10.16,-1.88
1.04,0.09,-3.14,-5.2,4.96,-2.88,1.6,-0.09,-4.34,-0.8,5.33,-0.83,0.53,7.99,-4.36,-5.44,0.27,-5.66,-5.86,-0.44
2.01,0.83,-2.28,3.11,-3.35,-1.45,0.75,1.06,-1.48,-3.67,2.22,1.55,-4.34,1.12,-4.36,-9.74,-1.45,-3.37,-7.01,-3.88
0.98,5.4,0.87,1.39,-3.64,-5.75,0.17,0.2,1.39,-1.66,1.3,-0.03,-4.91,1.4,-6.07,-5.44,0.27,-5.66,-5.86,-3.6
1.04,-0.15,-1.42,-2.91,-2.49,-6.6,2.75,-0.09,1.1,0.34,6.55,1.37,-3.48,-1.17,-9.51,-6.88,-2.31,-2.79,-7.29,-5.6
0.61,-0.39,-1.99,4.54,-2.49,-7.46,0.75,-0.09,0.24,-1.95,6.85,-3.15,-3.48,4.27,-5.79,-10.03,1.13,-4.8,-8.44,-9.61
2.62,-0.58,-4.86,2.25,-3.64,-8.04,-0.69,0.77,-4.05,2.64,2.7,0.88,-8.35,5.7,-4.36,-5.16,-2.02,-6.23,-6.43,-5.6
0.49,0.28,-3.42,-3.2,-1.06,-0.59,1.32,0.77,3.11,-5.1,8.44,2.77,-5.49,0.83,-6.93,-10.89,0.85,-7.09,-5.29,-4.17
0.73,-1.92,-3.42,-3.48,-1.35,-2.31,2.46,-0.09,5.4,0.34,17.66,-0.77,-10.36,0.83,-7.51,-2.58,-0.01,-0.79,-6.43,-5.6
4.03,-0.52,-1.99,-2.91,-3.64,-3.74,-3.84,-2.95,-0.9,-2.52,11.8,2.47,-8.35,-0.32,-7.22,-8.02,-0.01,-3.37,-4.71,-3.02
1.46,-0.58,-1.42,-2.62,-2.78,-3.17,3.04,-1.23,-0.62,-1.95,9.42,-0.4,-8.35,1.98,-7.22,-2.87,1.13,-6.52,-5.86,-9.61
1.53,-0.39,-1.99,-6.06,-2.78,2.56,2.46,-1.23,-0.33,-1.38,17.35,-6.69,-9.5,-3.75,-7.51,-12.04,2.28,-5.09,-0.99,-5.32
1.46,-0.7,-0.27,-6.06,-3.64,-1.73,1.89,0.77,-0.04,5.22,15.7,6.13,-9.21,7.99,-7.79,-1.72,1.13,-1.36,-10.16,-3.6
-0.92,1.5,-3.71,-3.2,-5.64,0.27,-0.11,1.63,-1.48,-0.8,18.51,2.41,-12.65,3.41,-10.66,-5.16,4.28,-0.21,-9.3,-2.74
2.14,-2.84,-1.71,-3.48,-3.64,-0.87,-0.69,-0.09,-0.62,-0.8,14.06,0.15,-12.94,-2.03,-8.37,-5.44,4.28,-1.65,-6.43,-2.74
2.14,1.32,-5.14,-4.91,1.52,-1.16,-4.13,-2.66,-0.33,-1.66,23.03,7.35,-8.93,5.42,-10.95,-7.16,3.14,-1.65,-4.71,-5.32
0.92,-3.69,-5.43,-4.91,-3.64,-0.01,-1.83,-0.09,-0.62,-2.24,16.93,1.8,-15.8,3.41,-13.24,-8.31,3.14,-3.94,-4.14,-5.32
0.43,-3.38,-2.28,-0.04,-3.07,0.27,-0.11,3.35,-0.33,-3.09,27.06,2.65,-11.79,0.83,-10.66,-7.16,3.42,-5.09,-0.7,-4.46
1.28,-1.43,2.02,-4.91,-3.64,-0.01,2.18,-0.66,-2.05,-1.09,24.98,3.81,-17.81,7.71,-10.66,-7.45,5.72,-5.66,-3.28,-5.6
0.12,-0.27,-1.71,-0.9,-3.07,-0.59,2.18,1.92,-2.34,0.06,26.26,2.1,-15.52,0.26,-13.24,-5.16,3.42,-5.66,-3.28,-3.6
6.71,-0.94,-2.85,1.39,-2.78,-1.73,-0.4,1.06,-3.2,0.34,25.35,1.74,-16.95,-2.03,-7.79,-6.59,4.28,-5.09,-3.28,-5.32
6.04,-1.13,-2.85,-5.77,-2.78,-0.01,1.32,1.63,-7.78,-0.23,28.77,8.08,-17.52,-4.04,-10.66,-4.87,3.14,1.5,-2.42,-3.88
2.32,-0.09,-1.99,-3.2,-3.07,-0.01,1.6,-1.23,3.11,-1.38,34.26,5.15,-16.66,0.26,-12.38,-5.16,8.87,-2.79,-5.86,-3.31
1.16,-1.49,-2.28,5.69,-2.78,-2.31,-0.11,-1.81,-1.19,-5.39,27.06,3.69,-21.53,-4.9,-14.67,-8.6,5.43,1.22,-7.58,-5.6
1.28,1.13,-2.28,0.24,-2.21,-2.31,0.75,-0.37,-1.48,0.63,32.86,5.89,-17.52,-2.03,-10.09,-8.6,4.86,0.07,-12.45,-5.03
0.92,0.83,-4.86,-4.63,-0.2,-2.88,2.46,-0.37,0.53,-3.95,31.88,6.07,-20.67,0.26,-15.24,-12.61,5.43,3.22,-3.57,-3.88
0.67,-1.13,-1.42,-6.06,-8.22,-1.73,2.46,-1.52,-2.05,-1.66,32.37,10.65,-21.25,-4.61,-8.94,-5.73,5.43,-3.65,-4.14,-5.6
2.14,-0.94,-3.71,-2.62,-5.93,-1.16,0.75,3.93,1.39,0.06,34.01,7.17,-20.96,-1.46,-14.96,-5.73,4.57,-3.65,-3.28,-2.45
1.53,-1.19,7.46,-0.9,-0.77,-3.45,1.6,0.2,1.39,-2.81,36.09,7.72,-22.68,-0.32,-14.67,-8.6,4.86,-0.5,3.02,0.13
1.71,-0.94,-6,-2.91,-0.2,-0.01,2.18,0.49,-6.63,0.34,39.94,8.82,-24.69,-8.34,-15.82,-3.44,4.57,-1.07,-6.72,-16.2
1.1,-0.94,-2.85,-4.34,-2.49,-1.16,2.75,-0.95,6.55,-2.52,39.32,10.04,-24.97,-2.61,-17.54,-6.3,6.58,-5.09,-2.13,-2.16
-2.44,-0.52,-2.85,-0.9,-2.21,-0.3,-2.41,0.77,1.96,-0.23,39.39,13.09,-25.26,-5.76,-18.11,-2.87,8.3,-4.23,3.31,-5.32
0.98,0.34,-0.85,-2.05,-3.64,-2.88,-11,-0.09,0.53,-0.8,46.1,11.32,-26.69,-6.91,-18.4,-9.17,5.72,-1.07,-6.43,-10.76
0.18,-1.92,-2.56,-5.77,-5.93,-0.87,-1.26,0.49,0.82,-7.68,45.31,11.69,-30.42,-2.03,-12.95,-8.02,7.72,-2.22,-0.7,-4.74
0.55,1.93,-2.85,-1.76,-2.21,3.71,-0.69,-1.81,2.54,4.64,43.78,14.43,-27.84,-9.2,-13.81,-8.02,5.72,-1.65,3.31,-2.16
